READ SERR 1
@_compps_qdp_tmp.pco
!
0.400412112 2.30493187E-3 2.45782445E-7
0.405048668 2.33162171E-3 2.44699237E-7
0.409738898 2.35862075E-3 2.43559271E-7
0.414483458 2.38593225E-3 2.42363456E-7
0.419282943 2.41355994E-3 2.41112815E-7
0.42413801 2.44150776E-3 2.39808344E-7
0.429049283 2.46977899E-3 2.38451207E-7
0.43401745 2.49837781E-3 2.37042556E-7
0.439043134 2.52730749E-3 2.35583585E-7
0.444127023 2.55657244E-3 2.340756E-7
0.449269772 2.58617615E-3 2.32519909E-7
0.454472065 2.6161226E-3 2.30917891E-7
0.459734619 2.64641596E-3 2.29270981E-7
0.465058088 2.67705997E-3 2.27580628E-7
0.470443189 2.7080588E-3 2.25848339E-7
0.475890666 2.73941667E-3 2.24075677E-7
0.481401235 2.77113752E-3 2.22264191E-7
0.48697558 2.803226E-3 2.20415515E-7
0.492614508 2.83568562E-3 2.18531298E-7
0.498318702 2.86852149E-3 2.16613174E-7
0.504088998 2.90173735E-3 2.14662847E-7
0.509926021 2.93533783E-3 2.12682011E-7
0.515830696 2.96932738E-3 2.10672411E-7
0.521803737 3.00371065E-3 2.08635868E-7
0.527845979 3.03849205E-3 2.06574242E-7
0.533958137 3.07367602E-3 2.04489396E-7
0.540141046 3.10926745E-3 2.02383205E-7
0.5463956 3.14527121E-3 2.0025756E-7
0.552722573 3.18169175E-3 1.98114307E-7
0.559122801 3.21853394E-3 1.95955323E-7
0.565597117 3.25580291E-3 1.93782455E-7
0.572146416 3.29350331E-3 1.91597536E-7
0.578771591 3.33164027E-3 1.89402371E-7
0.585473418 3.37021868E-3 1.87198751E-7
0.59225291 3.40924412E-3 1.84988437E-7
0.599110842 3.44872125E-3 1.82773164E-7
0.606048226 3.48865567E-3 1.80554636E-7
0.613065958 3.52905225E-3 1.78334517E-7
0.620164931 3.56991682E-3 1.76114412E-7
0.627346098 3.61125451E-3 1.73895927E-7
0.634610415 3.65307089E-3 1.71680583E-7
0.641958833 3.69537133E-3 1.69469885E-7
0.649392366 3.73816187E-3 1.67265242E-7
0.656912029 3.78144765E-3 1.65068116E-7
0.664518654 3.82523471E-3 1.62879857E-7
0.672213435 3.86952888E-3 1.60701831E-7
0.679997325 3.91433574E-3 1.58535286E-7
0.687871337 3.95966182E-3 1.56381446E-7
0.695836484 4.00551269E-3 1.54241505E-7
0.7038939 4.05189442E-3 1.52116542E-7
0.712044597 4.09881305E-3 1.50007622E-7
0.720289707 4.14627511E-3 1.47915728E-7
0.728630245 4.19428665E-3 1.45841781E-7
0.737067401 4.24285419E-3 1.43786664E-7
0.74560225 4.29198379E-3 1.41751158E-7
0.754235864 4.34168288E-3 1.39736031E-7
0.762969553 4.39195707E-3 1.37741964E-7
0.771804333 4.44281381E-3 1.35769568E-7
0.780741394 4.49425913E-3 1.33819412E-7
0.789781928 4.54630004E-3 1.31892008E-7
0.798927188 4.59894352E-3 1.29987797E-7
0.808178306 4.65219701E-3 1.2810716E-7
0.817536592 4.70606703E-3 1.26250441E-7
0.827003181 4.76056058E-3 1.2441788E-7
0.836579442 4.8156851E-3 1.22609649E-7
0.846266568 4.8714485E-3 1.2082586E-7
0.856065869 4.92785685E-3 1.1906662E-7
0.865978658 4.98491898E-3 1.17331972E-7
0.876006246 5.04264142E-3 1.15621923E-7
0.886149883 5.10103256E-3 1.13936444E-7
0.896411061 5.16009983E-3 1.1227548E-7
0.906790972 5.21985069E-3 1.10638929E-7
0.917291105 5.28029399E-3 1.09026665E-7
0.927912891 5.34143671E-3 1.07438545E-7
0.938657582 5.40328771E-3 1.05874378E-7
0.949526727 5.46585489E-3 1.04333957E-7
0.960521758 5.52914664E-3 1.02817062E-7
0.971644044 5.59317088E-3 1.01323437E-7
0.982895136 5.65793691E-3 9.98528193E-8
0.994276524 5.72345266E-3 9.84049251E-8
1.00578976 5.78972697E-3 9.69794485E-8
1.01743627 5.85676916E-3 9.55760981E-8
1.0292176 5.92458714E-3 9.41945331E-8
1.04113531 5.99319069E-3 9.28343624E-8
1.05319118 6.06258865E-3 9.14951812E-8
1.06538653 6.13278989E-3 9.01765773E-8
1.07772315 6.20380417E-3 8.88781457E-8
1.09020257 6.27564127E-3 8.75994672E-8
1.10282648 6.34830957E-3 8.6340151E-8
1.11559665 6.42181933E-3 8.50997921E-8
1.12851465 6.49618078E-3 8.38779997E-8
1.14158225 6.57140277E-3 8.26743971E-8
1.15480113 6.64749602E-3 8.14885937E-8
1.16817307 6.72447076E-3 8.0320234E-8
1.18169987 6.80233631E-3 7.91689487E-8
1.19538331 6.88110339E-3 7.80343967E-8
1.20922518 6.96078315E-3 7.69162227E-8
1.22322738 7.04138493E-3 7.5814107E-8
1.23739171 7.12292036E-3 7.47277298E-8
1.25172007 7.20540015E-3 7.36567785E-8
1.26621425 7.28883455E-3 7.26009546E-8
1.28087628 7.37323519E-3 7.15599668E-8
1.29570818 7.45861325E-3 7.05335381E-8
1.31071174 7.54497992E-3 6.95213842E-8
1.32588911 7.63234682E-3 6.85232067E-8
1.34124219 7.72072515E-3 6.75387426E-8
