READ SERR 1
@_compps_qdp_tmp.pco
!
0.196113363 1.12890685E-3 1.77995332E-6
0.198384255 1.14197889E-3 1.79478786E-6
0.200681433 1.15520239E-3 1.80938559E-6
0.20300521 1.1685791E-3 1.8237339E-6
0.205355912 1.18211051E-3 1.83782049E-6
0.20773381 1.19579874E-3 1.85163174E-6
0.21013926 1.20964542E-3 1.86515365E-6
0.21257256 1.22365251E-3 1.87837225E-6
0.215034038 1.23782177E-3 1.89127331E-6
0.217524007 1.25215505E-3 1.90384299E-6
0.22004281 1.26665423E-3 1.91606705E-6
0.222590789 1.2813214E-3 1.92793141E-6
0.225168273 1.29615841E-3 1.93942196E-6
0.227775604 1.31116726E-3 1.95052507E-6
0.230413109 1.32634991E-3 1.96122664E-6
0.233081177 1.34170824E-3 1.97151326E-6
0.23578012 1.35724456E-3 1.98137081E-6
0.238510326 1.37296063E-3 1.9907859E-6
0.241272151 1.38885877E-3 1.99974556E-6
0.244065955 1.40494108E-3 2.00823661E-6
0.246892095 1.42120942E-3 2.01624607E-6
0.249750972 1.43766636E-3 2.02376123E-6
0.252642959 1.45431375E-3 2.03077002E-6
0.255568415 1.47115381E-3 2.03726017E-6
0.258527756 1.48818898E-3 2.04321987E-6
0.261521369 1.50542147E-3 2.04863636E-6
0.264549643 1.52285339E-3 2.0534967E-6
0.267612994 1.54048717E-3 2.05778861E-6
0.270711809 1.55832525E-3 2.0614998E-6
0.273846507 1.57636974E-3 2.06461891E-6
0.277017504 1.59462332E-3 2.06713435E-6
0.280225217 1.61308818E-3 2.06903565E-6
0.283470064 1.63176679E-3 2.0703128E-6
0.286752492 1.65066181E-3 2.07095604E-6
0.290072918 1.66977558E-3 2.0709565E-6
0.293431818 1.68911065E-3 2.07030598E-6
0.296829581 1.70866959E-3 2.06899676E-6
0.300266713 1.72845507E-3 2.06702157E-6
0.303743631 1.74846966E-3 2.06437448E-6
0.307260841 1.76871591E-3 2.0610496E-6
0.310818732 1.78919674E-3 2.05704214E-6
0.314417839 1.8099146E-3 2.05234824E-6
0.31805864 1.8308725E-3 2.04696425E-6
0.321741581 1.85207301E-3 2.04088815E-6
0.325467169 1.87351892E-3 2.03411787E-6
0.329235911 1.89521327E-3 2.0266516E-6
0.333048284 1.91715884E-3 2.01848707E-6
0.336904794 1.93935854E-3 2.00962404E-6
0.340805978 1.96181517E-3 2.00006252E-6
0.344752312 1.98453199E-3 1.98980342E-6
0.348744363 2.00751168E-3 1.97884901E-6
0.352782637 2.03075772E-3 1.96720248E-6
0.356867671 2.05427269E-3 1.95486768E-6
0.361000001 2.07806006E-3 1.94185009E-6
0.365180165 2.10212287E-3 1.9281556E-6
0.369408756 2.12646439E-3 1.91379149E-6
0.373686314 2.15108762E-3 1.89876596E-6
0.378013402 2.17599608E-3 1.88308809E-6
0.382390589 2.20119278E-3 1.86676834E-6
0.386818469 2.22668145E-3 1.84981798E-6
0.391297609 2.25246535E-3 1.83224904E-6
0.395828635 2.2785475E-3 1.81407506E-6
0.400412112 2.30493187E-3 1.79531014E-6
0.405048668 2.33162171E-3 1.77596939E-6
0.409738898 2.35862075E-3 1.75606897E-6
0.414483458 2.38593225E-3 1.73562489E-6
0.419282943 2.41355994E-3 1.71465376E-6
0.42413801 2.44150776E-3 1.69317343E-6
0.429049283 2.46977899E-3 1.6712022E-6
0.43401745 2.49837781E-3 1.64875962E-6
0.439043134 2.52730749E-3 1.62586605E-6
0.444127023 2.55657244E-3 1.60254262E-6
0.449269772 2.58617615E-3 1.57881118E-6
0.454472065 2.6161226E-3 1.55469456E-6
0.459734619 2.64641596E-3 1.53021585E-6
0.465058088 2.67705997E-3 1.50539915E-6
0.470443189 2.7080588E-3 1.48026902E-6
0.475890666 2.73941667E-3 1.45485058E-6
0.481401235 2.77113752E-3 1.42916952E-6
0.48697558 2.803226E-3 1.40325164E-6
0.492614508 2.83568562E-3 1.37712334E-6
0.498318702 2.86852149E-3 1.35081143E-6
0.504088998 2.90173735E-3 1.32434263E-6
0.509926021 2.93533783E-3 1.29774412E-6
0.515830696 2.96932738E-3 1.27104283E-6
0.521803737 3.00371065E-3 1.24426572E-6
0.527845979 3.03849205E-3 1.21743926E-6
0.533958137 3.07367602E-3 1.19059007E-6
0.540141046 3.10926745E-3 1.16374486E-6
0.5463956 3.14527121E-3 1.13693011E-6
0.552722573 3.18169175E-3 1.11017221E-6
0.559122801 3.21853394E-3 1.08349707E-6
0.565597117 3.25580291E-3 1.0569305E-6
0.572146416 3.29350331E-3 1.03049797E-6
0.578771591 3.33164027E-3 1.00422426E-6
0.585473418 3.37021868E-3 9.78133812E-7
0.59225291 3.40924412E-3 9.52250446E-7
0.599110842 3.44872125E-3 9.26597409E-7
0.606048226 3.48865567E-3 9.01197154E-7
0.613065958 3.52905225E-3 8.76071454E-7
0.620164931 3.56991682E-3 8.51241225E-7
0.627346098 3.61125451E-3 8.26726534E-7
0.634610415 3.65307089E-3 8.02546651E-7
0.641958833 3.69537133E-3 7.78719766E-7
0.649392366 3.73816187E-3 7.55263102E-7
0.656912029 3.78144765E-3 7.32192632E-7
